insert into mexpenses values
(01, 2012, 1000.00, 800.00, 2000.00),
(02, 2012, 1000.00, 900.00, 3000.00),
(03, 2012, 1000.00, 800.00, 2000.00),
(04, 2012, 900.00, 800.00, 3120.00),
(05, 2012, 700.00, 900.00, 2450.00),
(06, 2012, 400.00, 600.00, 2980.00),
(07, 2012, 400.00, 700.00, 3090.00),
(08, 2012, 500.00, 800.00, 2000.00),
(09, 2012, 500.00, 600.00, 3000.00),
(10, 2012, 600.00, 700.00, 1950.00),
(11, 2012, 700.00, 800.00, 1000.00),
(12, 2012, 900.00, 800.00, 1000.00),
(01, 2011, 1000.00, 800.00, 1000.00),
(02, 2011, 1000.00, 700.00, 1000.00),
(03, 2011, 1000.00, 700.00, 1000.00),
(04, 2011, 900.00, 800.00, 1000.00),
(05, 2011, 700.00, 600.00, 1000.00),
(06, 2011, 500.00, 700.00, 1000.00),
(07, 2011, 500.00, 800.00, 1000.00),
(08, 2011, 500.00, 900.00, 1000.00),;

